district_id,school_id,school_name,school_type,school_level,enroll21_nces
1302220,130222004320,ALLIANCE ACADEMY FOR INNOVATION,1-Regular school,High,1044
0601572,060157213099,ALLIANCE ALICE M. BAXTER COLLEGE-READY HIGH,1-Regular school,High,167
0602119,060211912567,ALLIANCE CINDY AND BILL SIMON TECHNOLOGY ACADEMY HIGH,1-Regular school,High,517
0601666,060166610871,ALLIANCE COLLINS FAMILY COLLEGE-READY HIGH,1-Regular school,High,602
0601926,060192611633,ALLIANCE DR. OLGA MOHAN HIGH,1-Regular school,High,497
0602176,060217610851,ALLIANCE GERTZ-RESSLER RICHARD MERKIN 6-12 COMPLEX,1-Regular school,High,991
3102910,310291000011,ALLIANCE HIGH SCHOOL,1-Regular school,High,444
3904349,390434900064,ALLIANCE HIGH SCHOOL,1-Regular school,High,1035
0601934,060193410867,ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH,1-Regular school,High,613
0601690,060169012342,ALLIANCE LEICHTMAN-LEVINE FAMILY FOUNDATION ENV SCI HIGH,1-Regular school,High,384
0602446,060244611642,ALLIANCE MARC & EVA STERN MATH AND SCIENCE,1-Regular school,High,601
0601707,060170712924,ALLIANCE MARGARET M. BLOOMFIELD TECHNOLOGY ACADEMY HIGH,1-Regular school,High,575
0601835,060183513857,ALLIANCE MARINE - INNOVATION AND TECHNOLOGY 6-12 COMPLEX,1-Regular school,High,968
0602407,060240712259,ALLIANCE MORGAN MCKINZIE HIGH,1-Regular school,High,471
0602266,060226611641,ALLIANCE OUCHI-O'DONOVAN 6-12 COMPLEX,1-Regular school,High,990
0602362,060236211632,ALLIANCE PATTI AND PETER NEUWIRTH LEADERSHIP ACADEMY,1-Regular school,High,592
0601900,060190012378,ALLIANCE PIERA BARBAGLIA SHAHEEN HEALTH SERVICES ACADEMY,1-Regular school,High,486
0602279,060227912848,ALLIANCE RENEE AND MEYER LUSKIN ACADEMY HIGH,1-Regular school,High,507
5509600,550960002603,ALLIANCE SCHOOL OF MILWAUKEE,1-Regular school,High,160
0602190,060219012817,ALLIANCE SUSAN AND ERIC SMIDT TECHNOLOGY HIGH,1-Regular school,High,433
0601568,060156812766,ALLIANCE TED K. TAJIMA HIGH,1-Regular school,High,444
0602289,060228912572,ALLIANCE TENNENBAUM FAMILY TECHNOLOGY HIGH,1-Regular school,High,235
0102370,010237000989,ALMA BRYANT HIGH SCHOOL,1-Regular school,High,1687
3500116,350011600900,ALMA D'ARTE CHARTER,1-Regular school,High,135
5500180,550018000018,ALMA HIGH,1-Regular school,High,70
3100080,310008000017,ALMA HIGH SCHOOL,1-Regular school,High,151
0502250,050225000004,ALMA HIGH SCHOOL,1-Regular school,High,1010
2602640,260264003980,ALMA SENIOR HIGH SCHOOL,1-Regular school,High,652
5303440,530344000514,ALMIRA COULEE HARTLINE HIGH SCHOOL,1-Regular school,High,86
